author,topic,text,shooter,,,,,,,,,,,,,,,,,
WellingtonDeOliveira,Suicide Note,"You should first know that the impure cannot touch me without gloves, only the chaste or those who lost their chastity after marriage and were not involved in adultery can touch me without gloves, or, in other words, no fornicator or adulterer can have direct contact with me, nor anything that is impure can touch my blood, nothing impure can have direct contact with a virgin without his permission, those who prepare my burial should take off all my clothes, wash me, dry me and wrap me totally naked in a white sheet that is in this building, in a bag that I left in the first room on the first floor, after they have wrapped me in this sheet they can put me in my coffin. If possible, I want to be buried next to the grave where my mom sleeps. My mom’s name is Dicea Menezes de Oliveira and she is buried in the Murundu cemetery. I need to be visited at my grave by a faithful follower of God at least once, he must pray in front of my grave and ask God’s forgiveness for what I did praying that upon his return Jesus wakes me from the sleep of death for eternal life. I left a house in Sepetiba which no family needs, there are poor institutions, financed by generous people, that take care of abandoned animals, I want this space where I passed my final months donated to one of these institutions, because the animals are being very despised and need much more protection and care than human beings who have the advantage of being able to communicate, to work to feed themselves, so those who take ownership of my house, I ask you to please have some common sense and abide by my request, automatically they will be fulfilling the wishes of my parents who wanted to pass this property to my name and everybody knows this, comply with my request otherwise they automatically will be disrespecting my parents’ wishes, which would prove that all of you have no consideration for our parents who now sleep, I believe that all of you have some consideration for our parents, proving this by doing what I asked",1,,,,,,,,,,,,,,,,,
SeunHuiCho,Manifesto,"Oh the happiness I could have had mingling among you hedonists, being counted as one 
of you, only if you didnâ€™t fuck the living shit out of me.
You could have been great. I could have been great. Ask yourself what you did to me to have 
made me clean the slate. Only if you could be the victim of your reprehensible and wicked crimes, you Christian Nazis, you would have brute-restrained your animal urges to fuck me.
You could be at home right now eating your fucking caviar and your fucking cognac, had 
you not ravenously raped my soul. For every action, there is an equal and opposite reaction. Can you feel the pain that you 
fucked us in, you Descendants of Satan? Well, can you feel it? All the shit youâ€™ve given me, right back at you with hollow points. Donâ€™t you just wish you finished me off when you had the chance? Donâ€™t you just wish you 
killed me?  You had a hundred billion chances and ways to have avoided today, but you decided to spill 
my blood. You forced me into a corner and gave me only one option. The decision was yours. 
Now you have blood on your hands that will never wash off, you Apostles of Sin. 6 Congratulations. You have succeeded in extinguishing my life. Vandalizing my heart wasnâ€™t 
enough for you. Raping my soul wasnâ€™t enough for you. Committing emotional sodomy 
on me wasnâ€™t enough for you. Every single second wasted on your wanton hedonism and 
menacing sadism could have been used to prevent today. Ask yourselves, What was I doing 
all this time? All these months, hours, seconds. Only if you could have been the victim of 
your crimes. Only if you could have been the victim . . . To you sadistic snobs, I may be nothing but a piece of dog shit. You have vandalized my 
heart, raped my soul, and torched my conscious again and again. You thought it was one 
pathetic, void life that you were extinguishing. Thanks to you, I die, like Jesus Christ, to 
inspire generations of the Weak and Defenseless people â€” my Brothers, Sisters, and Chil-
dren â€” that you fuck.
Like Moses, I spread the sea and lead my people â€” the Weak, the Defenseless, and the Innocent 
Children of all ages that you fucked and will always try to fuck â€” to eternal freedom. Thanks to 
you Sinners, you Spillers of Blood, I set the example of the century for my Children to follow
",1,,,,,,,,,,,,,,,,,
SeunHuiCho,Manifesto,"You may stand steadfast on the battlefield of your lifeâ€™s dedication to eternal terrorism Ameri-
can Al-Qaeda, but the Children that you have fucked will rise. By the power greater than God 
Do they wanna fuck us and pretend to be devout Christians? Do they wanna smear dog shit 
on our face then give us a dirty towel to wipe away? Do they wanna rape us then give us 
stained toilet paper to clean up? Do they wanna cut our throat then give us a used band aid 
to patch up? Do they wanna perpetrate endless sessions of crucifixions and holocausts on our 
innocent life then go to church and praise the Lord and Jesus? Do they wanna fuck us and 
pretend to be Jesus Christ? I say weâ€™re the Jesus Christs, my Brothers, Sisters, and Children. 
Jesus Christ exists in us all: Ax Jesus Christ, John Jesus Christ, Jane Jesus Christ, Seung Jesus 
Christ, Carlos Jesus Christ, Hakeem Jesus Christ, Mohammad Jesus Christ, Zhang Jesus 
Christ, Oliver Jesus Christ, Elizabeth Jesus Christ, Vladimir Jesus Christ. ___________ Jesus 
Christ. I say there is no pain they can inflict on us that they havenâ€™t already inflicted. I say 
they canâ€™t fuck us any more than they have already done. I say there are no lies they can say 
about us that they havenâ€™t already said. I say fuck you, you Descendants of Satan Disguised 
as Devout Christians. I say we take up the cross, take up our guns and knives and hammers, 
and take no prisoners and spare no lives until our last breath and last ounce of energy. Seer of Veracity. Seal of the Anti-Terrorist. You wanna rape us John Mark Karrs? You wanna rape us Debra LaFaves? Fuck you.
By destroying we create. We create the feelings in you of what it is like to be the victim, what 
it is like to be fucked and destroyed. Because of your annihilations, we create and raise new 
breeds of Children who will show you fuckers what you have done to us. Like Easter, it will 
be a day of rebirth. It will be a start of a revolution of the Children that you fucked. You have 
never felt a single ounce of pain your whole life, thus, by destroying you, by giving you pain, 
we attempt to show you responsibilities and meanings of other peopleâ€™s lives. Itâ€™s grand for you to fuck us 24/7 for fun, but we canâ€™t have a single minute of harmless 
playtime, only suffer. Itâ€™s dandy for you to rape us, but weâ€™re not allowed to even speak, only 
be raped? Fuck you.
You love to pretend to, but you Hedonists, Charlatans, Sadists, Rapists, Terrorists will never 
know the feelings of giving up your lives for a cause. You have never felt a single ounce of 
pain in your hedonistic lives. You will never give up a single can of your Bud Light, a shot 
of your cognac, or a half-drop of your own precious blood for another human being, only 
fuck the shit out of him and lie afterwards. You fucked us, now we fuck you, now we kill 
you. There can be no lighter penalty for Masqueraded Democratic Terrorists who commit 
unforgivable acts of treason against mankind. There is no where in the world you can run, 
you Lovers of Terrorism. There is nowhere in the world you can hide, you Lovers of Sadism. 
You will never know when and where the Weak and Defenseless that you fucked will strike 
â€” day, night, at school, in the public, in your home, during your most comfortable hour and 
protected place. You will never know how we will kill you â€” slash your throat, bullet in your 
back, torture you with knives, hammers, bolt cutters, scissors. You will always live in fear. 
You will never be able to go to school or work or rest or sleep. Your heart will always pound 
nonstop. Your sin-ridden soul will slowly eat up your conscious for the heinous crimes you have committed. So if you donâ€™t want to die a painful death, do yourself a favor, do yourself 
a coup de grace, and kill yourself clean or you will endure pains you can never feel but with 
our hands. Kill yourself or we will hound you down and rip you, all your friends, and all 
your family into small pieces.",1,,,,,,,,,,,,,,,,,
SeunHuiCho,Manifesto,"We have no sympathy in killing humans who have no respect for other peopleâ€™s lives.  Now that the slate has been cleaned and you have the worldâ€™s attention, the question is what 
are you going to do? Are you going to admit the truth or are you going to stand resolute on 
your mission to eternally fuck the Weak and the Defenseless and lie about it? Are you still 
going to use your power and manipulate the truth to end up with some sort of profit as you 
have always done? Are you going to skip over all the crimes youâ€™ve committed and act as 
victims to the world so you can suck in millions of donation money to turn the situation 
into a profit? Your two million dollar house wasnâ€™t enough? Your BMW wasnâ€™t enough? Your 
inheritances werenâ€™t enough? You have to fuck and steal form the Poor and the Weak who 
have nothing in order to gratify your fucking pride and hedonism? What are you going to 
do with the blood money? Buy a new Mercedes? You want to brainwash your bratty, snobby 
kids that its right to steal from the poor, the Weak, and the Defenseless to always stay in 
power? The fat surpluses that you roll on everyday arenâ€™t enough? Fuck you. Your answer 
rings loud and clear. I saw we take up the cross, Children of Ishmael, take up our guns and 
knives and any sharp objects, and take no prisoners and spare no lives until our last breath 
and last ounce of energy. The blood of the Innocents should never be shed, but the wicked we shall spread our wings and strike. We do not want the Weak, the Defenseless, or the Innocent, but the sadistic, the 
corrupt, and the wicked who prey and rape from the Weak, the Defenseless, and the Innocent. 
We will seek and demolish them until our last breath. You Lifetakers may have succeeded in 
raping our souls and shattering our dreams â€” but mark our words â€” the vendetta you have 
witnessed today will reverberate throughout every home and every soul in America and will 
inspire the Innocent kids that you have fucked to start a war of vendetta. We will raise hell 
on earth that the world has never witnessed. Millions of deaths and millions of gallons of 
blood on the streets. will not quench the avenging phoenix that you have caused us to unleash. Generation after generation, we martyrs, like Eric and Dylan, will sacrifice our lives to fuck you thousand 
folds for what you Apostles of Sin have done to us.
Pain of every atom between air and water, sky and ground, heaven and hell, life and death 
wouldnâ€™t begin to explain the experience that we went through under your wrath.
What did you expect me to do, you violators of human rights? As the time approached, I wished for a last minute miracle and discard this mission youâ€™ve 
given me. Heaven knows I wouldnâ€™t hurt a single leaf of a flower. But when the time came, 
I did it. I had to. What other choices did you give me? All this time. . . You never know that 
a human being is capable of doing until you fuck him to the edge. When youâ€™re raped of everything, you got nothing to lose. If you have a single milligram of conscience, a grain of integrity, a speck of heart, you will kill yourself for all the lives you have brutally extinguished. Can you now see all that used to be, all that could have been, and all that is to come, you Sadistic Charlatans. ",1,,,,,,,,,,,,,,,,,
RobertButler,Note,Everybody that used to know me I’m sry but Omaha changed me and fucked me up. and the school I attend is even worse ur gonna here about the evil shit I did but that fucking school drove me to this. I wont u guys to remember me for who I was b4 this ik. I greatly affected the lives of the families ruined but I’m sorry. goodbye.,1,,,,,,,,,,,,,,,,,
PekkaEricAuvinen,Manifesto,"Event: Jokela High School Massacre.
Targets: Jokelan Lukio (High School Of Jokela), students and faculty, society, humanity, human 
race.
Date: 11/7/2007.
Attack Type: Mass murder, political terrorism (altough I choosed the school as target, my motives 
for the attack are political and much much deeper and therefore I don,1
7""",1,,,,,,,,,,,,,,,,,
PekkaEricAuvinen,Profile,"ouTube suspended my previous account but I am back
now :) My new account name is German and means
""Stormspirit"" in English. I am a cynical existentialist, antihuman humanist,
antisocial socialdarwinist, realistic idealist and godlike
atheist.
SI VIS PACEM, PARA BELLUM! JUSTITIA SUUM
CUIQUE DISTRIBUIT! SIC SEMPER TYRANNIS!
I am prepared to fight and die for my cause. I, as a
natural selector, will eliminate all who I see unfit,
disgraces of human race and failures of natural
selection.
You might ask yourselves, why did I do this and what do
I want. Well, most of you are too arrogant and closedminded to understand... You will proprably say me that I
am""insane"", ""crazy"", ""psychopath"", ""criminal"" or crap like
that. No, the truth is that I am just an animl, a human, an
individual, a dissident.
I have had enough. I don't want to be part of this fucked
up society. Like some other wise people have said in the
past, human race is not worth fighting for or saving...
only worth killing. But... When my enemies will run and
hide in fear when mentioning my name... When the
gangsters of the corrupted governments have been shot
in the streets... When the rule of idioracy and the
democratic system has been replaced with justice...
When intelligent people are finally free and rule the
society instead of the idiocratic rule of majority... In that
great day of deliverance, you will know what I want. 
NaturalSelector89 Is Back!
From: Sturmgeist89
Views: 227 
Comments: 8
Videos (89) Subscribe to Sturmgeist89's videos
loading...
loading...
loading...
Long live the revolution... revolution against the system,
which enslaves not only the majority of weak-minded
masses but also the small minority of strong-minded
and intelligent individuals! If we want to live in a different
world, we must act. We must rise against the enslaving,
corrupted and totalitarian regimes and overthrow the
tyrants, gangsters and the rule of idiocracy. I can't alone
change much but hopefully my actions will inspire all the
intelligent people of the world and start some sort of
revolution against the current systems. The system
discriminating naturality and justice, is my enemy. The
people living in the world of delusion and supporting this
system are my enemies.
I am ready to die for a cause I know is right, just and
true... even if I would lose or the battle would be only
remembered as evil... I will rather fight and die than live
a long and unhappy life.
And remember that this is my war, my ideas and my
plans. Don't blame anyone else for my actions than
myself. Don't blame my parents or my friends. I told
nobody about my plans and I always kept them inside
my mind only. Don't blame the movies I see, the music I
hear, the games I play or the books I read. No, they had
nothing to do with this. This is my war: one man war
against humanity, governments and weak-minded
masses of the world! No mercy for the scum of the
earth! HUMANITY IS OVERRATED! It's time to put
NATURAL SELECTION & SURVIVAL OF THE FITTEST
back on tracks! 
Justice renders to everyone his due.
Country: Finland
Occupation: Unemployed Philosopher, Outcast
Companies: Human Race (evolved one step above
though)
Interests and Hobbies: Existentialism, Freedom, Truth,
Misantrophy, Social / Personality Psychology,
Evolution Science, Political Incorrectness, Women,
BDSM, Guns (I love you Catherine), Shooting,
Computer Games, Sarcasm, Irony, Mass / Serial
Killers, Macabre Art, Black Comedy, Absurdism
Films and Shows: The Matrix, A View To A Kill, Falling
Down, Natural Born Killers, Reservoir Dogs, Last
Man Standing, Full Metal Jacket, Dr. Butcher MD
(aka Zombie Holocaust), Saw 1-3, Lord Of War, The
Deer Hunter, True Romance, The Untouchables, 28
Days Later, 28 Weeks Later, Idiocracy, They Live,
Apocalypse Now, End Of Days, The Shining, The
Dead Zone, Dr. Strangelove, House MD (TV), Monty
Python, TV Documentaries Relating To History
Music: KMFDM, Rammstein, Eisbrecher, Nine Inch
Nails, Grendel, Impaled Nazarene, Macabre,
Deathstars, The Prodigy, Combichrist, Godsmack,
Slayer, Children Of Bodom, Alice Cooper,
Sturmgeist, Suicide Commando, Hatebreed,
Suffocation, Terrorizer
Books: Fahrenheit 451 (Bradbury), 1984 (Orwell),
Brave New World (Huxley), The Republic (Plato), all
works of Nietzsche",1,,,,,,,,,,,,,,,,,
NikolasCruz,Plan,"All right.  So here's the plan.  I'm gonna go take Uber in the afternoon before 2:40.  From there I'll go into the  onto school campus, walk up the stairs, unload my bags and get my AR and shoot people down at  the main what is it? -- the main courtyard, wait, and people will die. Today is the day.  The day that it all begins.  The day of my massacre  shall begin.  All the kids in school will ru n and fear and hide.  From the wrath of my power they will know who I am. I am nothing.  I am no one.  My life is nothing and meaningless.  Everything that I hold dear I let go beyond your half.  Every day I see the world ending another day.  I live a lone life, live in seclusion and solitude.  I hate everyone and everything. With the power of my AR you will all know who I am.  I had enough of being told what to do and when to do.  I had enough of being telling me that I'm a idiot and a dumb ass, when real life you're all the dumb ass.  You're all  stupid and brainwashed by these fucking political government programs.  You will all see.  You will all know who my name is. My love for you, Angie, will never go away.  I hope to see you in the afterlife.  From one day or another you will end and we'll all die. My name is Nick and I'm gonna be the next school shooter of 2018. My goal is at least 20 people with an AR-15 and a couple tracer rounds.  I think I can do â€“ get done. Location is Stoneman Douglas in Parkland, Florida.  It's gonna be a big event.  And when you see me on the news, you'll all know who I am (laughing).  You're all going to die.  Pew, pew-pew, pew, pew, pew, pew.  Ah, yeah.  Can't  wait.",1,,,,,,,,,,,,,,,,,
NikolasCruz,Phone History and Notes,"shooting people massacre rape caught on video armed robber gets shot buy every customer Control your breathing and trigger pull. Your the one who sights in the rifle for yourself.adjust the scope to your shooting ability. Keep that adjustment every time.you have to shoot to yourself only to one self.my trigger squeeze is my ones ability. same thing every time. basketball court full of Targets still thinking of ways to kill people. My life is a mess idk what to do anymore. Everyday I get even more agitated at everyone cause my life is unfair. Everything and everyone is happy except for me I want to kill people but I don't know how I can do it. Walk to a park, get someone to pick me up I just don't know anymore but it will happen soon. Screenshot of Wikipedia article on the 2012 Aurora movie theater shooting. Holmes went to his car (which he had parked near the exit door), changed into protective clothing, and retrieved his guns. About 30 minutes into the movie, police say, around 12:30 a.m., he reentered the theater through the exit door. Holmes was dressed in black and wore a gas mask, a load-bearing vest, a ballistic helmet, bullet-resistant leggings, a bullet-resistant throat protector, a groin protector, and tactical gloves. He was listening to techno music through a set of headphones so that he could not hear anything from people in the theater. Initially, few in the audience considered Holmes to be a threat. Some witnesses thought he was wearing a costume, like other audience members who had dressed up for the screening. 666 the number of the beast Halloween knife game the final knife game song the knife game song. How to commit suicide. January 2018 School shooting Columbine High School. Marjory Stoneman Douglas High School Schedule. Pornography. My love towards her grows, without her Iâ€™m nothing all this madness inside is about to Burst without her I have nothing I wish we could love I wish we could live, but at the end to her itâ€™s probably nothing, but thatâ€™s ok cause I love her. I love my angel. If I donâ€™t die please see me it will bring me happiness to me I want to love, I want to be in love with you forever and ever with no end in sight even if Iâ€™m raped to death you will always be on my mind thatâ€™s how much my love is for you, I see you not as a person but a soul lover a love that will ever be broken. Iâ€™m in love with you my love. you have been the sweetest, gentle being of my heart I love with. ",1,,,,,,,,,,,,,,,,,
NikolasCruz,Phone History and Notes,"Please be with me in the after life my dearest sweetheart. I will always dream about you even if I do stupid things your nothing but love in my life I canâ€™t stand a day without you even after I been a worthless trash can. I wish for you to be my will with everything I leave behind it belongs to you and my brother. The half of the cash goes to you and my brother. As my hatred grows my love grows towards the one person my dear love. How to build an airsoft assault rifle. Is killing people easy. Pest control job. Crime scene cleaner. Little teen port how to use a compass therapist for homicidal best ar15 sights how to get into a relationship how to get a girlfriend how not to be afraid of the girl you like recluse grand theft water tube. Because they lack power and control in their lives. The fantasy of hurting others is a power based fantasy. It stems from the desire to have more control over others. Generally speaking, people who have these fantasies are suffering in their own lives. Maybe a person is struggling because he or she is not part of the in crowd. Perhaps someone they like doesnâ€™t like them back. They might feel rejected. Feelings of rejection can be quite painful. Homicidal fantasies might develop as a way to compensate for the painful feelings of rejection. There are other reasons as well. Hot middle school girl in dress porn uniform womens Viagra for sale school shooters ar15 dollar tree parkland FL virginia tech massacre columbine diary ar15 close quarter combat real combat footage school shooter footage. When a girl says ok school shooters pistol grip shotgun can I buy a pistol grip shotgun in Florida how long does it take for a cop to show up at a school shooting pekka shooting I wanna die good songs to play while killing people I put spongebob music over a school shooting columbine pumped up kicks gun range videos dogs killing rabbits youtubers turned killers Russian music videos military recruitment videos kill everybody Skrillex shootersnetwork.com forum on pistol grip shotguns I want to kill everybody in the world Love love oh I want to eat your heart I want to kill I want to kill I want to kill I want to kill. All the other kids with the pumped up kicks you better run better run faster than my bullet all the other kids with the pumped up kicks you better run better run outrun my gun school shooter hype music video shooting bullies. I want to be a professional school shooter. I am going to kill law enforcement one day they go after the good people Im going watch them sheep fall fuck antifa i wish to kill as many as i can? I am going to do what he did I whana shoot people with my AR-15 ,1
11""",1,,,,,,,,,,,,,,,,,
