Shooter,Subject_Title,Text_or_Transcription
AdamLanza,Antinatalism,"I didn’t understand this when I was younger, but I’ve always had an immense hatred for 
culture. I consider culture to be delusional values which humans mindlessly coerce onto 
each other, spreading it no differently than any other disease. I previously sought to eliminate 
my cultural values to the greatest extent that I could. Through this I expected to gradually 
discover values of an inner self which could be reconciled with this society, so that I could 
engage in activities and pursue goals which would lead to happiness.
Eventually I got to a point where I had sufficiently freed myself from what I called “cultural 
values” when I analyzed all of the things which brought me happiness and all the goals which 
I wanted to pursue, I realized that absolutely everything about those things that appealed to 
me was entirely a consequence of my cultural infection.
Formerly, I had rejected some aspects of culture while accepting other ones, and merely 
not calling them cultural as if those values were somehow transcendent and fine. It was at 
that point that I realized that there is no such thing as an inner self. Any sense of self is a 
delusional cultural construct. I realized that cultural infections were the sole source of any 
possible value beyond base values. For a while, I believed that happiness could be attained if culture could theoretically be eradicated and anarchic primitivism were to take 
hold. Replace all instances of technology with culture in the analytic sections of Industrial 
Society and Its Future and you basically have my mentality at the time regarding the pernicious effects of culture.
The problem was that I’d not been addressing what happiness is. Happiness is merely the 
fulfilment of value, I recognized that if cultural values were eliminated, the happiness which 
results from their fulfilment would not be needed because happiness becomes an unnecessary and incoherent concept when it is removed from its concept — context. A common 
theme in my quasi-anarcho-primitivist thought at the time is that non-base values exist only 
as a consequence of cultural infections and impede on the happiness which results from 
the fulfilment of feral values. As if my feral self is — in short metaphysically the real 
me, whose soul had been devoured by the culturally constructed impostor of the self. But 
my feral self was also an impostor. Just as I realized that I could eliminate non-base values 
and have no need for the happiness which resulted from their fulfilment, I could eliminate 
base-values and have no need for the happiness which resulted from their fulfilment.
It was not only the disease of culture that had been plaguing me all — all along, it was the 
disease of life itself. I was not and I am not in some existential crisis, I’ve never had 
the slightest problem with the obvious nonexistence of free will, objective purposes, and 
all of that. I have always been entirely psychologically capable of accepting my own subjective values and goals, even though I know they are consummately inconsequential, and it 
doesn’t bother me at all. 
The problem is not that I seek meaning and cannot find it. The problem is that I do feel 
immense meaning, and so does everyone else who is alive. Meaning is an abstract interpretation of value which exists only because of life. Just as I sought to eradicate the delusional 
values which culture infected me with, the final solution is the termination of my life, to rid 
myself of all value. The solution cannot be to embrace some aspect of life, as if the erosion 
of delusions is the cause of this. Life is what urgently caused me to have value, and changing 
my life will never do anything but create different delusions than the ones I already have. 
Unfortunately, as of right now I lack the discipline to pursue my death — death and to rid 
myself of the values which delude me, even though I recognize the solution to life is death. 
But I do commend others who do commit suicide. They have freed themselves from culture, 
life, and all value. They have freed themselves from themselves."
AdamLanza,Ramble,"I suppose I should add a video to my channel where I’m not reading something which I wrote before the video, and instead just ramble about ... basically whatever comes to mind, so that I seem like less of a robot. And I . .. I haven’t slept very recently, so I’m probably going to ramble incoherently, but I’m — I’m not excusing my rambling, by really saying that though because I always ramble. But anyway, I was just recently thinking about all of this “it gets better” nonsense, you 
know, with, with um, pertaining to the teenagers being bullied into committing suicide. 
And, uh, just the concept of bullying in general. And I’ve, in my life, I don’t think I’ve ever 
conventionally been bullied. I can’t really remember a single instance, but it’s, it just seems 
so ironic, all of this nonsense. Eve-even though I wasn’t bullied in a conventional sense, I was 
bullied in the normal cultural sense, which everyone is bullied in. And when people speak 
about that, “it — it gets better” nonsense, they say it in the context of, “Well our children are 
being bullied, what can we do to create an environment in which they can thrive?” And that 
seems like such a blatant contradiction to me because it’s really demonstrating the true bul-
lying that’s going on, and that bullying is what every child is subjected to. The imposition 
of cultural values. And the only reason why they oppose . . . um, the conventional sense of 
bullying is because it interferes with their cultural imposition of value. And . . . it’s just, eh, 
children are constantly bullied in every sense of the term, when it comes to their upbringing.
Like, one instance I recently remembered, this . . . heh, this isn’t I guess, a very good representation of what I’m talking about, but I remember when I was about ten years old, and at 
the end of the day in elementary school we would get into lines and go from room to room, 
to gather the kids for the right bus. And I remember that, when I was in the line, we would 
get to a section of portable rooms which weren’t connected to the main hallway so we would 
wait at that door which leads to them. And . . . um, the students, from there, would come join 
the line, and I remembered that usually I would, I don’t, I don’t really remember what I was 
doing but I would frantically signal to them as if there were some emergency. Um, I wasn’t 
serious, I was . . . I don’t know what I was doing, I was just bored I guess.
And anyway, one day I looked through the window from the door leading to the portable 
classrooms, and I saw that the principal of the school was speaking to someone over there. 
And I thought, Oh well, I can’t goof around when she’s there, so I said out loud to the people, 
um, to the other students that were at the line there with me, I said, “Oh the principal is 
there, well, I don’t care,” and by that time I just thought I was going to just, flap around, 
just motion as if there were some emergency, anyway, just fooling around. And 
the vice principal happened to be standing behind me, hearing me say, “Oh the principal’s 
there, oh I don’t care,” and she said the statement, “You should care,” av— as if it were . . . 
eh, something very insightful, and wise. And even though she misunderstood the context 
of what I was saying, it’s ignoring that, just, looking at that statement, “You SHOULD care,” 
and that really . . . is a representation of, what childhood is. It’s children saying, “I don’t care, 
I don’t want your values, I don’t want to live,” and adults constantly saying, “You should care 
about values, you should choose culture, you should choose life,” and that’s what parenting 
and childhood and education and all of that is. It’s just adults bullying children into accept-
ing their values. So how can you possibly criticize people for mocking the homosexuals and 
bullying them in some sense, when you’re the ones who’re incessantly bullying children? 
And, in that vein, um, heh, man, and the children, they grow up to do the same exact thing. 
And they just senselessly propagate these cultural memes . . . forever. It just keeps going on, 
they keep bullying each other, and there’s no point to any of it."
AdamLanza,Ramble,"And this kind of ties into an interest I have, which is . . . well, heh, um . . . basically the way in 
which society treats pedophiles. And before I go any further, I should say, I’m not a pedophile, 
I’ve never knowingly had any contact with any pedophiles . . . at all. And, just strictly an aca-
academic interest in the subject, but . . . it . . . this whole bullying theme, it’s remarkable how 
they can say that homosexual teenagers are being bullied, when any discrimination which 
homosexuals face is infinitely more insignificant when compared to the discrimination which pedophiles are faced aga— wi— um, face against. Um, I mean, first off everyone 
hates you, you’re subject to innumerable hate crimes just right off the bat, but if you’re ever 
known to have engaged in a pedophilic relationship with a child, you’re instantly imprisoned 
for prolonged periods. You’re put on a sex offender registry for the rest of your life. You are brutalized in prison, and people actually celebrate that as if it’s a good thing. And then if 
you’re lucky enough to escape prison with your life, you’re on that sex offenders registry or 
possibly castrated, you are tracked with a Gps device in some instances, and . . . the-there are 
just, so many issues pedophiles face, and everyone seems to think that it’s not a problem at 
all, it’s somehow justified that they’re treated in that manner.
And . . . and, you have to develop such extensive arguments just to refute that delusion, that 
somehow having sex with children is harmful to them innately. When, I’m . . . I’ve written 
an essay that’s already ten thousand and, I’m nowhere near finished and it’s already ten 
thousand words long with eight thousand words and notes that I have to add. It’ll probably 
end up over twenty-five thousand words and it’s just refuting this simple nonsense. And 
basically, all that it really boils down to, is that children aren’t harmed by having sex, the 
reason why pedophilia is opposed is because it combines an atavistic cultural opposition 
to sex with the undermining of authority of adults who relegate children to the property of 
status. Uh, eh, sorry, to the status of their property. I’ve . . . typed that sentence, or forms of 
it, so many times, and it’s really all that it is. It’s just that you’re undermining their author-
ity to impose their cultural values on children, and of course when you interfere with that 
process, people are going to react violently. And it’s . . . not innately harmful for children 
to have sex, it’s . . . so absurd, I’ve never seen a valid argument stating as such. And, um, 
really that’s all that culture is. It’s just the imp— the reason why I’m interested in this topic 
of pedophilia, is not because I have any ties to it, at all. It’s because it really represents what 
culture is. It’s a bunch of lies which exist to propagate itself. Infecting countless children 
for countless generations and just . . . continuing to perpet-perpetuate, heh, I promise in 
the future I’ll make some videos about pedophilia I’m not just gonna leave it on that note. 
Um. My . . . arguments are much more refined than what I’ve just stated, but really it’s just 
a bunch of nonsense."
AdamLanza,Ramble,"And . . . why do . . . people even people seem to think that they’re doing their children a favor, 
when they’re imposing values on them. They’re thinking, My values are so great that a child 
needs to be brought up with them, they, um, they — they don’t really realize what they’re 
doing. And, first off I’m talking about people who actually choose to have children, instead 
of the “Oh whoops the condom broke, guess I just raped the soul of our offspring,” instead 
I’m talking about those people who um intend on having children and intend on giving them 
a quote “better life” than they had.
These people experienced what they consider to be trauma when they were children, saying, 
“Oh my family was too poor to provide for us” or “Oh my family somehow abused us,” and 
because of that they think that they can do their children a favor by changing their behavior 
when having their children. But you’re not doing your children any favors, you’re not, it’s 
like they think that you’re — that somehow that process of parenting is progressing towards 
some enlightenment, but it’s, it’s not doing that at all, the only reason why you would want 
to do that with your children is because, not because you’re being selfless, you’re being 
selfish. You’re trying to remedy your own psychological baggage. I mean, the children have 
nothing to do with it, they don’t exist, they don’t, they aren’t subjected to whatever you were 
subjected to. It’s, uh, I don’t even know.
You don’t do your children a favor by raising them in any way, all that you’re doing is impos-
ing values onto them and they’re going to have to do the same thing to their children, to fix 
their baggage and all of that nonsense. You think that you’re progressing toward something, 
and I’m not saying that you’re not progressing, that you’re somehow deviating from some 
progression or that you’re going in circles. I’m not saying that at all, you’re not going in 
circles, you’re not progressing, you’re, um, you’re not doing anything. There’s no movement at all, you’re — you’re stuck in the zeroth dimension and I’m stuck in 
the zeroth dimension with no movement at all because that’s the structure of life and that’s 
what value demands, you’re jus— you’re not accomplishing anything by doing any of this, 
you’re just trying to fulfill the values that you’ve been instilled with. And if you don’t have 
children, you don’t need to fulfill any of those values. Uh. Not sure where I should go right 
now, I mean, what I should talk about.
It really irritates me how people . . . they seem to say that, why should it be celebrated when 
a child is born? I think that you should say, um, “I’m so sorry for your loss” whenever you 
hear that someone is pregnant. And it’s the same thing with suicide, I used to feel sorry for 
people who committed suicide, but I think they have the right idea."
AdamLanza,Ramble,"And now I commend them, I think that people should throw celebrations when someone 
commits suicide because . . . they’re able to escape this value trap. And . . . heh . . . I wish I were 
that determined, but I’m still psychologically stuck in all of this, I probably won’t be pursuing 
that any time soon, but I’ve never heard a single good argument against suicide. [laughter] 
My favorite one is “It’s selfish to commit suicide!” as if it’s somehow not selfish for those 
people to force that person to live who has already determined that life is not worth living, 
just so that they can fulfill their needs. Or rather their values, you don’t need anything. But 
I guess in the vein of that whole, parenting thing, you imposing values onto your children 
to address your own . . . that’s basically all that politics is, anyway. I used to enjoy reading, um, anything written by authors like . . . Proudhon, Kropotkin, espe-
cially Tolstoy, Emma Goldman, Alexander Berkman, Benjamin Tucker, basically any anarchist 
whether they are — they were individualists or collectivists, I enjoyed all of that, and it — I used 
to think that I was progressing toward something by learning about anarchist philosophy. 
But as if it were somehow anti-cultural, as if I were destroying some [archons?] of the mind. 
But I . . . I was doing no such thing, the only reason why I was ever interested in anarchist 
philosophy is because I felt . . . because of the experiences I had in my life, I felt as if I were 
hurt by the concept of authority. And if I had never been exposed to that concept, I would’ve 
never pursued any of this, anarchist philosophy. And that’s basically an understatement of 
what I was thinking back then. But it, I guess the essence of it. And so that’s all that politics 
is, people who’ve, because of the lives they’ve lived have acquired certain values and they try 
to fulfill that by promoting their political agenda as if it’s . . . somehow progressing towards 
something, but it’s not, it’s just addressing your psychological baggage.
And it’s, it’s all complete nonsense. I wasn’t anti-cultural in the sense that I thought I was 
getting beyond culture. I was — it was just counterculture. And that’s basically, well that’s 
basically all of life . . . and now I’m getting into the incoherent stage. [laughter] Um, anyway, 
people think that, Oh, well of course politics matters, because people’s rights need to be 
enforced, right? But that’s not true because these rights are just another cultural abstrac-
tion. They . . . um, they — they don’t exist at all. Um, basically, I — eh, they say that . . . you 
can somehow derive rights through some criteria, whatever that may be, or those may be, 
and I used to think that that were possible, in some sense. That doing those things were 
possible, but I — I and I used to believe in the concept of logical contradictions, but I was 
just misinterpreting the way in which logic was applied to determine rights. Such as, I used to think it was a contradiction for people to say . . . screensaver just came 
on, heh, um . . . that’s going nowhere. Um, that it was a contradiction for people to say that 
bestiality somehow violated an animal’s rights and yet those same people, the same meat-
eaters, would advocate factory-farming. And they didn’t think that violated animals” rights, 
when how could you possibly say that having sex with an animal violates its rights but killing 
the animals not? It didn’t make any sense to me, but I was just misinterpreting the way that 
they were using their so-called logic."
AdamLanza,Ramble,"They weren’t using their logic so that they could determine what rights existed, they were 
applying their logic so that they could determine how they could best fulfill their subjective 
values. So basically when they saw someone having sex with an animal, they thought, Ew, I 
don’t like that, I should create a right by which an animal can be free from this so I can be 
free from that and then they say, “Oh, bacon is tasty so therefore we should create property 
rights over animals” and “No, animals don’t have a right to live because X.Y.Z.,” and you try 
to refute those assertions but it’s not those assertions upon which their argument is based. 
It’s just based in the fulfilment of their subjective values and that’s really all that rights are.
And here’s another sentence I used to write all the time, or type all the time, but I’ll try to get 
it right: “Rights are just euphemisms for the use of violence against someone who deviates 
from the fulfilment of the subjective values of a group which has the capacity to kill,” I think 
that basically describes it, and that’s really all that it is. It’s just a group with the capacity to 
kill who is coercing people into behaving in ways which allow the maximum fulfilment of 
their subjective values.
And mor-morality is similar . . . not identical, but similar. Um, morality doesn’t exist and I don’t 
mean morality is subjective, I mean moral statements have no validity, they are completely 
incoherent. It’s, um . . . morality is basically just a cultural abstraction of subjective values, 
so people just select arbitrary values and then they say . . . an-and they duct-taped the-them 
together under — under the banner of moral language, and the-they say, “My behavior is 
ethically or morally justified” instead of saying “My value is leading me to act in this way” 
and that’s all there is to th— morality, there’s really nothing more.
Oh man I just remembered, I guess I should comment on this whole race thing, with 
HeyRuka, HeyRuka and whatnot.4 I don’t really understand why . . . if people like HeyRuka 
want to advocate segregation of races be— so that they can, because they value those races, 
because they put value in those races’ value so much that they want . . . that value to prosper, 
in their own settings, if they’re so obsessed with the value I don’t understand why they stop 
at ethnicity instead of some other category because, it’s quite obvious that even among eth-
nicities, their values are radically different so if they love value so much then I don’t know 
why they’re focusing on race, I think . . . it’s probably just another abstraction that only, I 
don’t want to spend time thinking about it because it’s so pointless.
And I’m not saying that, um, we should encourage diversity and . . . I’m not saying that we 
should segregate, because both intre-integration and segregation are nonsensical. They’re 
just two systems under which culture prospers and we all lose. There’s really no difference 
between them. This ties into what I used to, sort of, my prior thinking, I used to address the 
issue of language being cultural. Oh man, I hate language so much, maybe I’ll talk about that 
later. But I used to address the problem of language being cultural, by just saying, “Oh um, 
Esperan— worldwide implil-implementation of Esperanto should solve that problem” it was 
such a trivial, um, way to deal with that, because I wasn’t . . . all that, um, integration allows 
to happen is to — all that it does is kill competing viruses while — to let one virus prosper. "
AdamLanza,Ramble,"There’s really no difference between integration and segregation, it’s just the propagation of culture under different systems. And about language . . . oh man, I have a special place in 
my heart for language because it’s the primary method by which cultural values are coerced 
onto other people.
And you can’t, it’s like the wheezing of someone with tuberculosis. It’s a symptom of it, 
it’s also the method by which it propagates to other victims, and there’s nothing you can 
do about it. You’re for — um, forever stuck with this, language, all these abstractions . . . but 
here I’m going back into my, my anarcho-quasi— I should say quasi-anarcho-primitivist 
ideology when really, it’s not culture that’s the problem, it’s value that’s the problem. It’s 
the structure of value itself, it’s not only cultural value, it’s fler-feral value too. It’s all a part 
of the same nonsense . . . and sort of similar, to the whole race debacle, is the Efilists,5 um, 
even though I’m adamantly opposed to the structure of life, I . . . I differ from the Efilists in 
several regards, and the main issue is their . . . um, they invoke these cultural abstractions 
like rights and morality to further their ideology. And, I’m not appealing to anything, I’ve 
recognized that there’s nothing transcendent about my ideas, they’re just a consequence of 
the life I’ve lived, but it’s kind of like how Jay Sender[?] said, there . . . there are so many people 
from different backgrounds who come to the same conclusion about antinatalism, about 
the structure of life, it’s um . . . ah, not appealing to anything, you can just look for yourself 
at the structure of life and you can see, it’s — it’s just like how Gary6 says it’s, he says that, 
the simplest way, it’s just a need that you did, it’s just a need that need not exist. And that’s 
all that life is, and it’s so easy to see that. That you’re just, fulfilling these values which . . . 
there’s, which have no reason to exist. And I don’t need to say it’s immoral[?] to fulfill that, 
I just say . . . it’s ridiculous according to my own standards, and apparently the standards of 
many other people. I mean I’m not really sure I can communicate this, maybe it’s not even 
possible to communicate this, because of the structure of life. Because I can’t free myself 
from value and still communicate that I hate value.
It’s my value which leads me to hating value. [sigh] And another thing about the Efilists is 
that a lot of them seem to think, that is, eh, it’s, that it’s possible for there to be . . . it’s pos-
sible for there to be an instance under which it would be a good idea to propagate life, that 
if suffering were abolished tomorrow, that it would be okay to bring new lives into the world 
or to live your current life. But I don’t really focus on suffering, at least not directly I focus on 
really, value itself, that’s the problem. Even if there were Paradise tomorrow, and there were 
no suffering forever in the future, I would still be advocating this position because I . . . you 
can sum me up in one sentence: I have a vendetta against value. So instead of an Efilist I’m 
more of a . . . eulavist.7 Eh, I only oppose life because life is the source of value and it’s value 
that I really hate. And, well, I guess that just says it all: I have a vendetta against value. And 
I guess that’s a good place to finish my video, I mean I basically support the Efilists because 
I do hate life and value, but um . . . it’s just that I have several problems with them . . . and 
also the same applies to Gary there are a lot of things I disagree with him about but listening 
to his rants are kind of my idea of pornography. It’s just fun to listen to."
AdamLanza,Ramble,"Oh, and speaking about pornography, if anyone comments on this video, I’m sure that ninety 
percent of them will be about the whole “pedophilia” thing, and I just want to emphasize I 
am not a pedophile, I don’t know any pedophiles, it’s just an academic interest. And if any 
of you, eh, “pedo-phobic” um, inclined individuals want to comment about this, I’d like to hear some unique arguments affirming the position that children having sex is innately 
harmful, because it’s been a really long time since I’ve found a unique argument advocating 
that position. So . . . if you can, try to add some of those in the comments, but . . . um, until 
then, thanks for listening and maybe someday in the future I’ll . . . I will definitely in the 
future make some videos about pedophilia and elaborate on my position, but also someday 
in the future maybe I’ll add another one of these rambling videos, depending on how well 
this comes out. I should listen to it and probably think oh that, about myself, Oh that guy’s 
such a liar, just listen to his voice, listening to his intonation, he’s obviously a pedophile! 
And who knows? . . . Maybe I am.
"
AdamLanza,Antinatalism,"Or rather, activist antinatalism, efilism, eulavism — call it whatever you 
want. The point is, there’s no need to even bring suffering into the picture because even eternal 
utopia doesn’t change what “The Good” and “the good” are.
 I should have elaborated on what I meant by this video, but it -was- “at light speed”. This is directed 
toward the people who say things like, “Extinction?! But without humans, there will be no art; there 
will be no nobility; there will be no kindness; there will be no goodness”.
Goodness is the fulfilment of value; value exists only in life. If there is no life, there is no 
value. And thus, goodness becomes an entirely irrelevant concept."
AdamLanza,Antinatalism,"So, I did that so that they would say, “Wow this kid is fucked up, I’d better not mess him up 
anymore.” And . . . I’ve, it, uh . . . subordination disgusts me. One of the most grating things 
I can hear is “My parents raised me to believe that” or “My parents always told me that,” I 
. . . It’s . . . I had to cut back to this because I’m trying to think of how I can express this. I, 
you hear things like “I don’t need to spank my children because there’re other methods of 
discipline available,” and I used to think that it could be possible to have children and not 
discipline them, because I perceived values at potentially having some degree of validity, and 
I would think “why do you need to coerce a child into behaving in certain ways when you can 
use reason?” But you can’t use reason because culture, there, there is no reason involved, 
cultural values are not reasonable. Culture, the only way that culture can spread is through 
coercion, and so that’s why parents, even egalitarian ones, focus on the word “discipline” 
because there’s no other way to go about spreading these lies because children will instantly 
reject them. A child can see that all of this is nonsense, and that’s why they go through this 
terrible twos stage, when they’re toddlers they’re incessantly miserable and it’s . . . it’s children 
don’t, offspring don’t naturally rebel against their parents like that.
Um, you don’t see chimpanzee toddlers freaking out about their . . . they have scuffles, but 
they don’t have this rebellion against their parents. And the reason why this rebellion exists 
in humans is because this cultural infection is being involved, they’re trying to rebel against 
this indoctrination process but of course, they always end up ca— succumbing to it in the end 
and no longer see how delusional it is, and even still I . . . I don’t entirely see how delusional 
I am, because I still have this notion that even though I nominally recognize that it’s false, 
I, I still have — I still operate under this belief that it’s possible for value, different values to 
be more valid than other values.
And thinking about this response video caused me to remember that a while ago I saw a 
documentary about bonobo chimps being taught language. Basically, they’re being indoctrinated into accepting culture and I’ve seen some . . . immensely gory shockumentaries, 
but they were Barney compared to the horror that was in this documentary, and in all of 
the videos you can find on YouTube about apes being taught things. Um . . . I’ll link to the 
specific video I’m talking about, but the entire thing was . . . horrible. But I remember two 
particular scenes, there was one where this bonobo chimp was excited and it hopped onto 
a dog, and one of the prison guards um . . . was, um . . . bullying it, saying, “Bad, bad, bad, 
bad” continuously, it was like a nightmare and the . . . you could just tell the chimp wasn’t 
recognizing that what it did was wrong, it was being instilled with this belief that it was bad, 
and it’s . . . one of there was this other scene where, it might’ve been the same chimp but 
I’m not sure. This bonobo chimp was trying to be, they were try— the prison guards were 
trying to teach this chimp language and the chimp, they spend their entire lives in this prison 
complex and these aliens are trying to coerce these stupid things onto them and they have 
no idea what’s going on. "
